"name”,"ring”,"quadrant”,"isNew”,"description”
"path”,"adopt”,"Packages & Library”,"TRUE”,"Provides a set of utilities for working with file and directory paths.”
"supertest”,"adopt”,"Packages & Library”,"TRUE”,"Simplifies the process of testing HTTP servers by providing a clean and expressive API for sending HTTP requests and asserting on their responses.”
"ts-node”,"adopt”,"Packages & Library”,"TRUE”,"Allows developers to execute TypeScript code directly in a Node.js runtime environment without having to compile it first.”
"uuid”,"adopt”,"Packages & Library”,"TRUE”,"Provides a simple and efficient way to generate universally unique identifiers (UUIDs).”
"wdio-chromedriver-service”,"adopt”,"Packages & Library”,"TRUE”,"Provides a service for running ChromeDriver, which is the WebDriver implementation for Google Chrome.”
"wdio-timeline-reporter”,"adopt”,"Packages & Library”,"TRUE”,"Provides a custom reporter for generating an interactive timeline report of your test runs.”
"Docker”,"assess”,"Tools”,"TRUE”,"Docker should be used as the default containerisation technology.”
"JavaScript”,"hold”,"Languages & Frameworks”,"FALSE”,"<a href='https://www.javascript.com/'>JavaScript</a> is our choice for create script performance test. Hold after compare with typescript.”
"Python”,"hold”,"Languages & Frameworks”,"FALSE”,"<a href='https://www.python.org/'>Python</a> is default language for create script automation test using robot framework. Hold because this languages is support for robot framework.”
"NPM”,"hold”,"Tools”,"FALSE”,"Package manager for JavaScript. Hold after compared with pnpm.”
"Robot Framework”,"hold”,"Languages & Frameworks”,"FALSE”,"<a href='https://robotframework.org/'>RobotFramework</a> is our choice for framework automation test. Hold because this framework not familiar for our engineering and not good from running time.”
"WebdriverIO 7”,"hold”,"Languages & Frameworks”,"FALSE”,"<a href='https://webdriver.io/'>WebdriverIO</a> is our choice for framework automation test web. Hold this version because for now we use version 8.”
"Cypress”,"hold”,"Languages & Frameworks”,"FALSE”,"<a href='https://www.cypress.io/'>Cypress</a> is framework automation test web. Hold this framework after research and compare with WebdriverIO, one reason is cypress not support page object model pattern.”
"Jenkins”,"hold”,"Tools”,"FALSE”,"Continuous Integration for running our automation test. Hold because not familiar for our engineering and not have dedicated people for maintain and not support from our devops side.”
"TypeScript 4”,"hold”,"Languages & Frameworks”,"FALSE”,"<a href='https://www.typescriptlang.org/'>TypeScript</a> is our choice for create script automation test web and api.”
